loss,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6345,3e-05,20.0,9300,,,,,,,,,,,,,,
,,20.0,9300,1.6391159296035767,15.9327,1.5658,14.1814,14.2139,19.0,45.5596,22.257,1.405,,,,,
1.6329,2.978494623655914e-05,20.22,9400,,,,,,,,,,,,,,
1.6358,2.9569892473118284e-05,20.43,9500,,,,,,,,,,,,,,
1.6256,2.9354838709677417e-05,20.65,9600,,,,,,,,,,,,,,
1.6103,2.913978494623656e-05,20.86,9700,,,,,,,,,,,,,,
,,21.0,9765,1.634291172027588,16.2474,1.4152,14.1721,14.2095,19.0,46.2905,21.905,1.383,,,,,
1.6474,2.89247311827957e-05,21.08,9800,,,,,,,,,,,,,,
1.6081,2.8709677419354843e-05,21.29,9900,,,,,,,,,,,,,,
1.6226,2.8494623655913982e-05,21.51,10000,,,,,,,,,,,,,,
1.6191,2.827956989247312e-05,21.72,10100,,,,,,,,,,,,,,
1.6214,2.806451612903226e-05,21.94,10200,,,,,,,,,,,,,,
,,22.0,10230,1.6271686553955078,16.2837,1.4691,14.2288,14.2575,19.0,45.9372,22.074,1.393,,,,,
1.6241,2.78494623655914e-05,22.15,10300,,,,,,,,,,,,,,
1.6043,2.763440860215054e-05,22.37,10400,,,,,,,,,,,,,,
1.6094,2.7419354838709678e-05,22.58,10500,,,,,,,,,,,,,,
1.6116,2.7204301075268817e-05,22.8,10600,,,,,,,,,,,,,,
,,23.0,10695,1.6257773637771606,16.5889,1.7216,14.4612,14.4884,19.0,44.9294,22.569,1.424,,,,,
1.6175,2.698924731182796e-05,23.01,10700,,,,,,,,,,,,,,
1.6033,2.67741935483871e-05,23.23,10800,,,,,,,,,,,,,,
1.6099,2.6559139784946236e-05,23.44,10900,,,,,,,,,,,,,,
1.5948,2.6344086021505376e-05,23.66,11000,,,,,,,,,,,,,,
1.5952,2.6129032258064516e-05,23.87,11100,,,,,,,,,,,,,,
,,24.0,11160,1.6223344802856445,16.6651,1.6965,14.6226,14.6469,19.0,45.0334,22.517,1.421,,,,,
1.6092,2.591397849462366e-05,24.09,11200,,,,,,,,,,,,,,
1.5926,2.56989247311828e-05,24.3,11300,,,,,,,,,,,,,,
1.6024,2.5483870967741935e-05,24.52,11400,,,,,,,,,,,,,,
1.5796,2.5268817204301075e-05,24.73,11500,,,,,,,,,,,,,,
1.6114,2.5053763440860218e-05,24.95,11600,,,,,,,,,,,,,,
,,25.0,11625,1.6158490180969238,16.3269,1.531,14.2447,14.291,19.0,45.7403,22.169,1.399,,,,,
1.5975,2.4838709677419354e-05,25.16,11700,,,,,,,,,,,,,,
